scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate,,,,,,,,,,,,,,,
Chloroceryle americana,Aves,Coraciiformes,Alcedinidae,Chloroceryle,americana,,martín pescador chico,LC,,06/07/2019,,,,,,,,,,,,,,,
Chlorostilbon lucidus,Aves,Apodiformes,Trochilidae,Chlorostilbon,lucidus,,picaflor verde,LC,,06/07/2019,,,,,,,,,,,,,,,
Chordeiles minor,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,,añapero,LC,,06/07/2019,,,,,,,,,,,,,,,
Chordeiles nacunda,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,nacunda,,ñacundá,LC,,06/07/2019,,,,,,,,,,,,,,,
Chroicocephalus cirrocephalus,Aves,Charadriiformes,Laridae,Chroicocephalus,cirrocephalus,,gaviota capucho gris,LC,,06/07/2019,,,,,,,,,,,,,,,
Chroicocephalus maculipennis,Aves,Charadriiformes,Laridae,Chroicocephalus,maculipennis,,gaviota capucho café,LC,,06/07/2019,,,,,,,,,,,,,,,
Chrysomus ruficapillus,Aves,Passeriformes,Icteridae,Chrysomus,ruficapillus,,garibaldino,LC,,06/07/2019,,,,,,,,,,,,,,,
Ciconia maguari,Aves,Ciconiiformes,Ciconiidae,Ciconia,maguari,,cigüeña común,LC,,06/07/2019,,,,,,,,,,,,,,,
Cinclodes fuscus,Aves,Passeriformes,Furnariidae,Cinclodes,fuscus,,remolinera,LC,,06/07/2019,,,,,,,,,,,,,,,
Circus buffoni,Aves,Accipitriformes,Accipitridae,Circus,buffoni,,gavilán alilargo,LC,,06/07/2019,,,,,,,,,,,,,,,
Circus cinereus,Aves,Accipitriformes,Accipitridae,Circus,cinereus,,gavilán ceniciento,LC,,06/07/2019,,,,,,,,,,,,,,,
Cistothorus platensis,Aves,Passeriformes,Troglodytidae,Cistothorus,platensis,,ratonera aperdizada,LC,,06/07/2019,,,,,,,,,,,,,,,
Cnemotriccus fuscatus,Aves,Passeriformes,Tyrannidae,Cnemotriccus,fuscatus,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Coccycua cinerea,Aves,Cuculiformes,Cuculidae,Coccycua,cinerea,,cuclillo gris,LC,,06/07/2019,,,,,,,,,,,,,,,
Coccyzus americanus,Aves,Cuculiformes,Cuculidae,Coccyzus,americanus,,cuclillo pico amarillo,LC,,06/07/2019,,,,,,,,,,,,,,,
Coccyzus melacoryphus,Aves,Cuculiformes,Cuculidae,Coccyzus,melacoryphus,,cuclillo común,LC,,06/07/2019,,,,,,,,,,,,,,,
Coereba flaveola,Aves,Passeriformes,Coerebidae,Coereba,flaveola,,,LC,,06/07/2019,,,,,,,,,,,,,,,
Colaptes campestris,Aves,Piciformes,Picidae,Colaptes,campestris,,carpintero de campo,LC,,06/07/2019,,,,,,,,,,,,,,,
