scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus,lastUpdate
Pontoporia blainvillei,Mammalia,Cetacea,Iniidae,Pontoporia,blainvillei,,franciscana,VU,,06/07/2019
Procyon cancrivorus,Mammalia,Carnivora,Procyonidae,Procyon,cancrivorus,,mano pelada,LC,,06/07/2019
Promops centralis,Mammalia,Chiroptera,Molossidae,Promops,centralis,,murciélago,LC,,06/07/2019
Pseudorca crassidens,Mammalia,Cetacea,Delphinidae,Pseudorca,crassidens,,falsa orca,NT,,06/07/2019
Pteronura brasiliensis,Mammalia,Carnivora,Mustelidae,Pteronura,brasiliensis,,lobo grande de río,EN,,06/07/2019
Puma concolor,Mammalia,Carnivora,Felidae,Puma,concolor,,puma,LC,,06/07/2019
Puma yagouaroundi,Mammalia,Carnivora,Felidae,Puma,yagouaroundi,,yaguarundí,LC,,06/07/2019
Reithrodon typicus,Mammalia,Rodentia,Cricetidae,Reithrodon,typicus,,rata conejo,LC,,06/07/2019
Scapteromys tumidus,Mammalia,Rodentia,Cricetidae,Scapteromys,tumidus,,rata de pajonal,LC,,06/07/2019
Stenella coeruleoalba,Mammalia,Cetacea,Delphinidae,Stenella,coeruleoalba,,delfín listado,LC,,06/07/2019
Steno bredanensis,Mammalia,Cetacea,Delphinidae,Steno,bredanensis,,delfín de dientes rugosos,LC,,06/07/2019
Sturnira lilium,Mammalia,Chiroptera,Phyllostomidae,Sturnira,lilium,,falso vampiro flor de lis,LC,,06/07/2019
Tadarida brasiliensis,Mammalia,Chiroptera,Molossidae,Tadarida,brasiliensis,,murciélago,LC,,06/07/2019
Tamandua tetradactyla,Mammalia,Pilosa,Myrmecophagidae,Tamandua,tetradactyla,,tamandua,LC,,06/07/2019
Tursiops truncatus,Mammalia,Cetacea,Delphinidae,Tursiops,truncatus,,tonina,LC,,06/07/2019
Wilfredomys oenax,Mammalia,Rodentia,Cricetidae,Wilfredomys,oenax,,rata de hocico ferrugineo,EN,,06/07/2019
Ziphius cavirostris,Mammalia,Cetacea,Hyperoodontidae,Ziphius,cavirostris,,zifio de Cuvier,LC,,06/07/2019
